id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort,Geschlecht
233,3,max_rahm,8,instagram,0,Austria,1
234,3,samgolong,124,instagram,0,NA,1
235,3,georgstrasser,13,instagram,0,Austria,1
236,3,dionogorla,43,instagram,0,NA,2
237,3,fredericfunkNEUNUNDSIEBZIG,40,instagram,0,NA,1
238,3,lena_oberdorf,402,instagram,0,Deutschland,2
239,3,jonas_deichmann,310,instagram,0,NA,1
240,3,leni_runner,274,instagram,0,NA,2
241,3,johanna__ahrens,3,instagram,0,Deutschland,2
242,3,elisa_deutschmann,79,instagram,0,NA,2
243,3,lea___maria,32,instagram,0,NA,2
244,3,nele_ocik,74,instagram,0,NA,2
245,3,takemetoalaska_,84,instagram,0,Austria,2
246,3,daniel_herzi_herzog,10,instagram,0,NA,1
247,3,ditaji_k,66,instagram,0,NA,2
248,3,andreas_mies,21,instagram,0,NA,1
249,3,juliaalinaschlr,441,instagram,0,NA,2
250,3,marta_swiatlon,93,instagram,0,NA,2
251,3,lars_wichert,8,instagram,0,NA,1
252,3,linnkleine,5,instagram,0,Deutschland,2
253,3,alishagra,16,instagram,0,NA,2
254,3,antonia_somerhalder,4,instagram,0,NA,2
255,3,lauri_kc,119,instagram,0,Deutschland,2
256,3,angelika_lagoda,33,instagram,0,NA,2
257,3,bfitbyemma,3,instagram,0,NA,2
258,3,nico_bachofner,1,instagram,0,NA,1
259,3,debby_schoepe,6,instagram,0,Deutschland,2
260,3,phil_mroONENINE,1,instagram,0,NA,1
261,3,mrs_vickeey,68,instagram,0,Deutschland,2
262,3,lisa_sanftl,13,instagram,0,NA,2
263,3,friedrichdennis_,11,instagram,0,NA,1
264,3,swaggy_bodybuilding,2,instagram,0,Deutschland,1
265,3,antonialueck,2,instagram,0,NA,1
266,3,marablech,1,youtube,0,NA,2
267,3,reinerstimmler,35,instagram,0,NA,1
268,3,christianleibhan,4,instagram,0,Deutschland,1
269,3,domibusek,4,instagram,0,NA,1
270,3,tobro_NINESEVEN,4,instagram,0,NA,1
271,3,michibovelet,5,instagram,0,Deutschland,2
272,3,cj_stephi,70,instagram,0,Deutschland,2
273,3,simon_buh,2,instagram,0,Deutschland,1
274,3,pinkyinthegym,3,instagram,0,Deutschland,2
275,3,teejay_davis,13,instagram,0,NA,2
276,3,thereallittlemisshulk,3,instagram,0,Deutschland,2
277,3,krisforfit,2,instagram,0,NA,1
278,3,marco_proebster,9,instagram,0,Deutschland,1
279,3,thezaisers,261,instagram,0,Deutschland,0
280,3,lisa_beck_ifbbpro,86,instagram,0,NA,2
281,3,josanne_ifbb,5,instagram,0,Niederlande,2
282,3,sarahhuber_fitness,10,instagram,0,NA,2
283,3,_p_k_l_a_,11,instagram,0,NA,2
284,3,tobi_worthEIGHTEIGHT,45,instagram,0,NA,1
285,3,maria_shfr,40,instagram,0,NA,2
286,3,kallonworld,52,instagram,0,NA,1
287,3,fit_and_goodfood,5,instagram,0,NA,2
288,3,goodvibes_sandra,28,instagram,0,Deutschland,2
289,3,fitfood_sarah,12,instagram,0,NA,2
290,3,tinabambiiina,270,instagram,0,Deutschland,2
291,3,franzis_gesunde_kueche,2,instagram,0,NA,2
