id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort,
223,3,veganfindsaustria,41,instagram,0,Austria,
224,3,lucahbl,395,instagram,0,Nordrhein Westfalen,
225,3,monawitt_,31,instagram,0,Bayern,
226,3,luisa_tabbert,441,instagram,0,Nordrhein Westfalen,
227,3,ronbielecki,522,instagram,0,Berlin,
228,3,marenmorereal,88,instagram,0,Baden Wuerttemberg,
229,3,pauuly,2,instagram,0,Nordrhein Westfalen,
230,3,lukas_liebing,47,instagram,0,Hamburg,
231,3,fabian_niessl,281,instagram,0,Bayern,
232,3,moritz_fiebig,43,instagram,0,NA,
233,3,max_rahm,8,instagram,0,Tirol,
234,3,samgolong,124,instagram,0,NA,
235,3,georgstrasser,13,instagram,0,Salzburg,
236,3,dionogorla,43,instagram,0,NA,
237,3,fredericfunkNEUNUNDSIEBZIG,40,instagram,0,NA,
238,3,lena_oberdorf,402,instagram,0,Bayern,
239,3,jonas_deichmann,310,instagram,0,NA,
240,3,leni_runner,274,instagram,0,NA,
241,3,johanna__ahrens,3,instagram,0,Bayern,
242,3,elisa_deutschmann,79,instagram,0,NA,
243,3,lea___maria,32,instagram,0,NA,
244,3,nele_ocik,74,instagram,0,NA,
245,3,takemetoalaska_,84,instagram,0,Tyrol,
246,3,daniel_herzi_herzog,10,instagram,0,NA,
247,3,ditaji_k,66,instagram,0,NA,
248,3,andreas_mies,21,instagram,0,NA,
249,3,juliaalinaschlr,441,instagram,0,NA,
250,3,marta_swiatlon,93,instagram,0,NA,
251,3,lars_wichert,8,instagram,0,NA,
252,3,linnkleine,5,instagram,0,Baden Wuerttemberg,
253,3,alishagra,16,instagram,0,NA,
254,3,antonia_somerhalder,4,instagram,0,NA,
255,3,lauri_kc,119,instagram,0,Hessen,
256,3,angelika_lagoda,33,instagram,0,NA,
257,3,bfitbyemma,3,instagram,0,NA,
258,3,nico_bachofner,1,instagram,0,NA,
259,3,debby_schoepe,6,instagram,0,Nordrhein Westfalen,
260,3,phil_mro19,1,instagram,0,NA,
261,3,mrs_vickeey,68,instagram,0,Bayern,
262,3,lisa_sanftl,13,instagram,0,NA,
263,3,friedrichdennis_,11,instagram,0,NA,
264,3,swaggy_bodybuilding,2,instagram,0,Bayern,
265,3,antonialueck,2,instagram,0,NA,
266,3,marablech,1,youtube,0,NA,
267,3,reinerstimmler,35,instagram,0,NA,
268,3,christianleibhan,4,instagram,0,Baden Wuerrtemberg,
269,3,domibusek,4,instagram,0,NA,
270,3,tobro_97,4,instagram,0,NA,
271,3,michibovelet,5,instagram,0,Bayern,
272,3,cj_stephi,70,instagram,0,Nordrhein Westfalen,
273,3,simon_buh,2,instagram,0,Hessen,
274,3,pinkyinthegym,3,instagram,0,Nordrhein Westfalen,
275,3,teejay_davis,13,instagram,0,NA,
276,3,thereallittlemisshulk,3,instagram,0,Nordrhein Westfalen,
277,3,krisforfit,2,instagram,0,NA,
278,3,marco_proebster,9,instagram,0,Bayern,
279,3,thezaisers,261,instagram,0,Baden Wuerttemberg,
280,3,lisa_beck_ifbbpro,86,instagram,0,NA,
281,3,josanne_ifbb,5,instagram,0,Niederlande,
282,3,sarahhuber_fitness,10,instagram,0,NA,
283,3,_p_k_l_a_,11,instagram,0,NA,
284,3,tobi_worth88,45,instagram,0,NA,
285,3,maria_shfr,40,instagram,0,NA,
286,3,kallonworld,52,instagram,0,NA,
287,3,fit_and_goodfood,5,instagram,0,NA,
288,3,goodvibes_sandra,28,instagram,0,Hessen,
289,3,fitfood_sarah,12,instagram,0,NA,
290,3,tinabambiiina,270,instagram,0,Baden Wuerttemberg,
291,3,franzis_gesunde_kueche,2,instagram,0,NA,
292,3,verena_steigner,36,instagram,0,Nordrhein Westfalen,
293,3,conny_schlling_,15,instagram,0,NA,
294,3,rebecca_leticia,2,instagram,0,Nordrhein Westfalen,
295,3,lisa_mieschke,104,instagram,0,Dubai,
296,3,vflbochum,161,instagram,0,,
297,3,srah_trpn,4,instagram,0,Nordrhein Westfalen,
298,3,g_deissi,1,instagram,0,NA,
299,3,selinacerci,137,instagram,0,Baden Wuerttemberg,
300,3,giuliagoesfit,239,instagram,0,NA,
301,3,mai_lan,115,instagram,0,Frankreich,
302,3,aliciasmd,5600,instagram,0,Brandenburg,
303,3,vanessastehler,108,instagram,0,Berlin,
304,3,juliette_xr,134,instagram,0,NA,
305,3,robin_raww,205,instagram,0,Nordrhein Westfalen,
306,3,lenaajoy,501,instagram,0,Baden Wuerttemberg,
307,3,julia_reppel,114,instagram,0,NA,
308,3,philipp_stehler,253,instagram,0,Berlin,
309,3,fitness_kaykay,405,instagram,0,NA,
310,3,anniju_,607,instagram,0,Nordrhein Westfalen,
311,3,adrienne_kolezar,496,instagram,0,NA,
312,3,piitn_,100,instagram,0,Bayern,
312,3,carol_enrico,51,instagram,0,Italien,
313,3,rebbsssssss,31,instagram,0,Italien,
314,3,p_gallucci,53,instagram,0,Italien,
315,3,steffi_hns,179,instagram,0,NA,
316,3,thefashionjogger,2600,instagram,0,NA,
317,3,matteorestivo,65,instagram,0,Italien,
318,3,james_middleton_,790,instagram,0,Vereintes Koenigreich,
319,3,sophiasky_,171,instagram,0,NA,
320,3,bellehutt,63,instagram,0,NA,
321,3,juliusise,184,instagram,0,Berlin,
322,3,trainhard_eatwell,126,instagram,0,Baden Wuerttemberg,
323,3,emi_dtr,151,instagram,0,Frankreich,
324,3,ornella_nicolosi,595,instagram,0,Frankreich,
325,3,healthywidy,49,instagram,0,Spanien,
326,3,petit_fit,1100,instagram,0,Spanien,
327,3,alizouTWOb,281,instagram,0,Frankreich,
328,3,patrickdossantosaveiro,179,instagram,0,NA,
329,3,soysupersara,424,instagram,0,Spanien,
330,3,cuoriveggie,395,instagram,0,Italien,
331,3,lorenayessir,72,instagram,0,Austria,
332,3,michellemisayo,4,instagram,0,NA,
333,3,martinmichelius,186,instagram,0,NA,
334,3,marylu_ly,86,instagram,0,NA,
335,3,lefloid,802,instagram,0,Berlin,
336,3,powlster_,45,instagram,0,Berlin,
337,3,derollikanal,50,instagram,0,Berlin,
338,3,danielamonida,168,instagram,0,NA,
339,3,angelo_carlucci,912,instagram,0,NA,
340,3,onlylennard,200,instagram,0,NA,
